,city,Lat,lon,max temp,Humidity,Cloudiness,wind speed,country,date
0,Hong Kong,22.2855,114.1577,73.76,73,67,5.06,HK,1579662000
1,Albany,42.6001,-73.9662,16.88,83,0,3.96,US,1579662000
2,Quatre Cocos,-20.2078,57.7625,80.06,86,100,13.94,MU,1579662000
3,Cape Town,-33.9258,18.4232,68.61,76,60,2.95,ZA,1579662000
4,Novikovo,51.1537,37.8879,35.35,92,99,16.22,RU,1579662000
5,Mataura,-46.1927,168.8643,77.95,49,70,3.76,NZ,1579662000
6,Pakxan,18.3778,103.6601,83.01,45,0,2.75,LA,1579662000
7,Kodiak,57.79,-152.4072,28.87,78,72,5.41,US,1579662000
8,Saskylakh,71.9167,114.0833,-33.39,95,15,6.6,RU,1579662000
9,Ahipara,-35.1667,173.1667,76.19,75,99,12.17,NZ,1579662000
10,Riyadh,24.6877,46.7219,57.34,44,0,11.99,SA,1579662000
11,Bariloche,-41.1456,-71.3082,65.01,68,0,1.95,AR,1579662000
12,Ushuaia,-54.8,-68.3,37.33,94,0,3.94,AR,1579662000
13,Camana,-16.6228,-72.7111,68.25,84,100,1.59,PE,1579662000
14,Lompoc,34.6391,-120.4579,51.94,82,67,9.19,US,1579662000
15,Yangi Marg`ilon,40.4272,71.7189,33.35,74,100,5.21,UZ,1579662000
16,Rikitea,-23.1203,-134.9692,78.84,78,32,11.97,PF,1579662000
17,Cidreira,-30.1811,-50.2056,75.09,77,100,26.26,BR,1579662000
18,Kargopol,61.5071,38.9456,28.47,82,100,12.08,RU,1579662000
19,Lake City,30.1897,-82.6393,36.0,42,0,7.81,US,1579662000
20,Butaritari,3.0707,172.7902,84.88,62,25,4.29,KI,1579662000
21,Port Alfred,-33.5906,26.891,68.22,91,29,10.78,ZA,1579662000
22,Chui,-33.6971,-53.4616,72.41,81,100,10.2,UY,1579662000
23,Upernavik,72.7868,-56.1549,1.67,62,61,4.36,GL,1579662000
24,Ust'-Koksa,50.2696,85.6108,5.77,92,100,11.88,RU,1579662000
25,Kyra,49.5776,111.9753,-0.94,85,100,3.56,RU,1579662000
26,Carnarvon,-24.8667,113.6333,75.36,68,0,24.43,AU,1579662000
27,Khatanga,71.9667,102.5,-24.86,98,100,5.75,RU,1579662000
28,Mahebourg,-20.4081,57.7,77.95,87,100,8.05,MU,1579662000
